City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Karratha,AU,84.02,light rain,-20.7377,116.8463,ibis Styles Karratha
640,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
644,Mitu,CO,73.33,scattered clouds,1.1983,-70.1733,
645,Neiafu,TO,86.0,scattered clouds,-18.65,-173.9833,Mystic Sands
646,Dingle,PH,80.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
649,Yeppoon,AU,80.6,scattered clouds,-23.1333,150.7333,Villa Mar Colina
659,Torres,BR,72.79,overcast clouds,-29.3353,-49.7269,Farol Hotel
660,Edd,ER,76.8,clear sky,13.9297,41.6925,
667,Kirakira,SB,85.17,scattered clouds,-10.4544,161.9205,SanBiz Lodge
668,Ovalle,CL,72.77,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
670,Ban Nahin,LA,81.28,broken clouds,18.2418,104.2122,
673,Matara,LK,76.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
674,Cananeia,BR,77.7,heavy intensity rain,-25.0147,-47.9267,Casa azul
677,Guaratinga,BR,78.8,clear sky,-16.5667,-39.5667,Hotel Caraíva
678,Coffs Harbour,AU,78.8,clear sky,-30.3,153.1333,Aquajet Motel
680,Ladario,BR,82.0,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
682,Oussouye,SN,73.4,clear sky,12.485,-16.5469,Auberge du Routard
683,Singkang,MY,71.6,mist,2.1006,102.7994,Kampung Seri Makmor Pagoh
686,Sucua,EC,71.6,light rain,-2.4667,-78.1667,Hotel Orellana
691,San Policarpo,PH,81.25,broken clouds,12.1791,125.5072,JM Lodge
692,Poya,NC,87.64,clear sky,-21.35,165.15,
693,Maicao,CO,79.79,broken clouds,11.3832,-72.2432,Hotel Sancho
694,Calabozo,VE,84.94,overcast clouds,8.9242,-67.4293,Hotel Giardini
696,Kuala Lumpur,MY,75.99,few clouds,3.1431,101.6865,Le Méridien Kuala Lumpur
699,Oliveira Dos Brejinhos,BR,78.73,scattered clouds,-12.3169,-42.8961,Hotel Paraiso
705,Vientiane,LA,87.01,mist,17.9667,102.6,Mali Namphu Boutique Hotel
706,Lampang,TH,84.0,broken clouds,18.3333,99.5,Mrs Luis Guest House
708,Ende,ID,82.08,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
709,Yulara,AU,78.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
713,Sassandra,CI,76.8,light rain,4.95,-6.0833,la terrasse
714,Cairns,AU,82.99,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
715,Nieuw Amsterdam,SR,82.4,few clouds,5.8833,-55.0833,Hotel Stardust
716,Kasongo-Lunda,CD,70.2,overcast clouds,-6.4667,16.8167,
717,Aripuana,BR,72.95,scattered clouds,-9.1667,-60.6333,
719,Sungairaya,ID,77.32,overcast clouds,0.7,108.9,Mess P.Milu
726,Ixtapa,MX,86.0,few clouds,20.7,-105.2,Hotel Plaza Providencia
730,Vung Tau,VN,80.47,broken clouds,10.345999999999998,107.0843,Green hotel
732,Mount Isa,AU,87.8,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
733,Pizarro,CO,77.18,light rain,4.9533,-77.366,Hotel Limonar
735,Tadine,NC,82.53,clear sky,-21.55,167.8833,
743,La Palma,US,78.8,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
744,Natchez,US,80.6,overcast clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
746,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
747,Trairi,BR,74.44,broken clouds,-3.2778,-39.2689,janelas do mar
748,Roebourne,AU,84.92,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
749,Papara,BR,77.0,broken clouds,-3.9839,-38.7273,Romin
755,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
758,Urucui,BR,75.78,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
760,Maragogi,BR,76.37,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
761,Uberaba,BR,74.07,broken clouds,-19.7483,-47.9319,Tamareiras Park Hotel
762,Kalianget,ID,81.01,few clouds,-7.05,113.9333,Pesanggrahan Garam
763,Ca Mau,VN,80.91,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
764,Puerto Suarez,BO,82.56,broken clouds,-18.95,-57.8,Hotel casa real
765,Puri,IN,75.2,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
766,Tual,ID,80.89,light rain,-5.6667,132.75,Grand Vilia Hotel
769,Bolobo,CD,73.17,scattered clouds,-2.1667,16.2333,Hotel de Stephen
770,Karimpur,IN,74.86,clear sky,23.9667,88.6167,gabrudanga jumma masjid
775,Madang,PG,81.32,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
776,Banquero,PH,77.34,scattered clouds,17.0231,121.7783,Kristel
777,Moussoro,TD,75.18,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
779,Sao Gabriel Da Cachoeira,BR,73.6,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
784,Starkville,US,73.99,scattered clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
785,Aquidauana,BR,82.44,broken clouds,-20.4711,-55.7872,HOTEL ARARAS
788,Pontianak,ID,77.0,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
789,Vadodara,IN,79.95,clear sky,22.3,73.2,Grand Mercure Vadodara Surya Palace
797,Jeremie,HT,77.49,few clouds,18.65,-74.1167,Auberge’Inn
